dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.004720,4.268004,0.003661,0.146424,2.928486,58.569724,0.001536
0.050000,3.019177,4.268060,0.018118,0.289145,2.854411,-1.481503,0.006284
0.050000,3.043411,4.268310,0.042353,0.484703,3.911162,21.135017,0.014388
0.050000,3.077639,4.269003,0.076588,0.684702,3.999985,1.776459,0.026152
0.050000,3.122186,4.270520,0.121161,0.891451,4.134972,2.699753,0.042037
0.050000,3.177504,4.273415,0.176554,1.107873,4.328436,3.869264,0.062703
0.050000,3.244203,4.278477,0.243445,1.337812,4.598779,5.406872,0.089076
0.050000,3.323083,4.286835,0.322767,1.586441,4.972591,7.476234,0.122432
0.050000,3.415170,4.300114,0.415806,1.860778,5.486730,10.282783,0.164529
0.050000,3.521710,4.320689,0.524315,2.170189,6.188223,14.029857,0.217768
0.050000,3.644072,4.352072,0.650637,2.526430,7.124818,18.731903,0.285354
0.050000,3.783331,4.399417,0.797725,2.941758,8.306563,23.634897,0.371336
0.050000,3.939189,4.469959,0.968802,3.421557,9.595975,25.788241,0.480144
0.050000,4.107709,4.572543,1.166091,3.945767,10.484209,17.764673,0.614845
0.050000,4.278422,4.714529,1.388133,4.440843,9.901529,-11.653588,0.773476
0.050000,4.434378,4.895538,1.627061,4.778561,6.754358,-62.943416,0.945257
0.050000,4.559456,5.103748,1.869952,4.857818,1.585142,-103.384325,1.112435
0.050000,4.647494,5.321982,2.105275,4.706462,-3.027139,-92.245626,1.259175
0.050000,4.702602,5.537518,2.327744,4.449378,-5.141678,-42.290769,1.378243
0.050000,4.732910,5.745071,2.537498,4.195085,-5.085860,1.116348,1.469861
0.050000,4.745981,5.944139,2.736995,3.989936,-4.102974,19.657730,1.537415
0.050000,4.747592,6.135981,2.928844,3.836983,-3.059049,20.878489,1.584493
0.050000,4.742081,6.321950,3.114894,3.721007,-2.319524,14.790503,1.613632
0.050000,4.732971,6.502744,3.295917,3.620456,-2.011019,6.170105,1.625893
0.050000,4.723772,6.672539,3.465962,3.400894,-4.391256,-47.604741,1.621016
0.050000,4.717551,6.824325,3.617876,3.038272,-7.252440,-57.223677,1.599235
0.050000,4.716111,6.956262,3.749820,2.638880,-7.987841,-14.708025,1.560183
0.050000,4.720205,7.066747,3.860381,2.211227,-8.553055,-11.304288,1.501931
0.050000,4.729325,7.153095,3.947209,1.736557,-9.493385,-18.806602,1.421268
0.050000,4.741115,7.212312,4.007588,1.207593,-10.579280,-21.717884,1.314481
0.050000,4.751060,7.243161,4.040001,0.648255,-11.186766,-12.149720,1.179484
0.050000,4.753976,7.249558,4.047030,0.140584,-10.153420,20.666906,1.019781
0.050000,4.748346,7.242183,4.056308,0.185557,0.899464,221.057676,0.847788
0.050000,4.739476,7.233629,4.068631,0.246456,1.217982,6.370373,0.681631
0.050000,4.735663,7.230823,4.073365,0.094681,-3.035501,-85.069658,0.535858
0.050000,4.741856,7.233866,4.080265,0.138001,0.866392,78.037859,0.415989
0.050000,4.758218,7.240066,4.097763,0.349947,4.238926,67.450673,0.320602
0.050000,4.782301,7.246994,4.122823,0.501199,3.025035,-24.277811,0.245548
0.050000,4.811089,7.253261,4.152284,0.589236,1.760738,-25.285941,0.186507
0.050000,4.841920,7.258306,4.183525,0.624816,0.711608,-20.982606,0.139895
0.050000,4.872713,7.262045,4.214545,0.620397,-0.088391,-15.999984,0.102983
0.050000,4.901923,7.264622,4.243868,0.586468,-0.678584,-11.803862,0.073753
0.050000,4.928424,7.266267,4.270420,0.531032,-1.108719,-8.602688,0.050738
0.050000,4.951404,7.267225,4.293420,0.460006,-1.420505,-6.235722,0.032872
0.050000,4.970286,7.267717,4.312308,0.377764,-1.644856,-4.487029,0.019391
0.050000,4.984664,7.267926,4.326688,0.287589,-1.803497,-3.172815,0.009751
0.050000,4.994265,7.267990,4.336289,0.192030,-1.911181,-2.153676,0.003586
0.050000,4.998923,7.268000,4.340947,0.093154,-1.977513,-1.326635,0.000668
0.050000,5.000000,7.268000,4.342024,0.021545,-1.432185,10.906555,0.000000
0.050000,5.000000,7.268000,4.342024,0.000000,-0.430898,20.025736,0.000000
